거점ID,전기차 여부,주소,거점명
2460,GA,서울 종로구 신영동 10-15,신영동 삼거리
2012,EV,서울 동작구 신대방동 686-44,SK주유소 21세기점
22,GA,서울 노원구 상계동 706-2,SK주유소 노원역점
1143,GA,서울 강서구 등촌동 629-7,증미역 4번출구
2339,GA,서울 양천구 신정동 1258,신정동 신트리2단지아파트
883,EV,서울 강동구 성내동 512,안말어린이공원
2252,GA,서울 서대문구 홍은동 4,세검정교차로
655,GA,서울 관악구 봉천동 1609-1,서울대입구역 2번출구(리틀플레이스카페)
879,GA,서울 광진구 중곡동 115-4,아차산역 1번출구
2297,GA,서울 금천구 가산동 505-19,가산 어바니엘
765,GA,서울 구로구 오류동 8-4,쉐보레 구로오류대리점
464,GA,서울 양천구 목동 915,목동 공영주차장
2196,GA,서울 동작구 노량진2동 225-57,노량진동 송학대교회
604,GA,서울 중랑구 상봉동 110-38,상봉시장 앞
597,GA,서울 동작구 상도동 414,상도건영아파트
1891,GA,서울 양천구 신월동 475,신월서울가든
1181,GA,서울 서대문구 홍은동 345-3,충암초등학교 옆
1141,GA,서울 중랑구 중화동 304-2,중화역
2279,GA,서울 성동구 성수동1가 656-591,뚝섬역 5번출구(서울숲A타워)
2553,GA,서울 양천구 목동 917-6,행복한백화점
530,GA,서울 강북구 번동 148-380,번동
951,GA,서울 마포구 연남동 493-50,연남동(가버나움)
885,GA,서울 강동구 암사1동 473-3,암사역 1번출구
498,GA,서울 강북구 미아동 1351,미아역 5번출구
870,GA,서울 도봉구 창동 655-15,쌍문역
4,GA,서울 마포구 상암동 1649,DMC산학협력센터
505,GA,서울 강서구 내발산동 652-4,발산역 5번출구
2284,GA,서울 강북구 수유동 229-49,수유역 경남아너스빌
1298,GA,서울 동대문구 휘경동 283-5,회기역(삼육서울병원)
1282,GA,서울 강서구 화곡동 110-65,화곡역 3번출구
1102,TO,서울 성북구 정릉2동 408-14,정릉시장입구(정릉타워)
1137,GA,서울 동작구 상도1동 500,중앙대 후문
105,GA,서울 강남구 개포동 183-1,개포동공원
2539,GA,서울 양천구 목동 962,이마트 목동점
907,GA,서울 서초구 양재동 215,양재하이브랜드
381,GA,서울 양천구 목동 615-1,등촌역 6번출구
327,GA,서울 도봉구 도봉동 624-105,도봉시장(법조타운 공영)
404,GA,서울 마포구 구수동 60,광흥창역 5번출구
2410,GA,서울 서초구 서초동 1451-57,남부터미널역 5번출구(오륜주차장)
1136,GA,서울 동작구 흑석동 200-95,중앙대 중문
282,GA,서울 마포구 상암동 1605,누리꿈스퀘어
1289,GA,서울 성동구 송정동 68-44,화양사거리
591,TO,서울 노원구 상계동 37-7,상계3.4동주민센터
244,GA,서울 관악구 난곡동 626-82,남강중학교
316,GA,서울 종로구 동숭동 25-5,대학로거리(뮤지컬센터)
106,TO,서울 강서구 방화동 844,개화산역
2175,GA,서울 중구 다동 111,을지로입구역 2번출구
580,GA,서울 강남구 삼성동 159 (좌측 입구),삼성역(오크우드호텔)
1934,GA,서울 송파구 가락동 133-12,문정동 현대아파트교차로
1950,GA,서울 마포구 동교동 166-6,홍대입구역 8번출구
2380,GA,서울 강남구 신사동 587-1,강남을지병원앞 교차로(호텔선샤인)
872,GA,서울 도봉구 쌍문동 103-1,쌍문역 3번출구
2567,GA,서울 관악구 신림동 1412-4,현대자동차 신림지점
687,GA,서울 은평구 녹번동 5,서울혁신파크
1887,GA,서울 강남구 수서동 721-1,수서 하니움
1873,GA,서울 은평구 불광동 641,북한산힐스테이트3차
611,GA,서울 마포구 상암동 1145-1,상암DMC역 7번출구
831,TO,서울 동대문구 신설동 114-29,신설동역(9번출구 풍물시장)
2545,GA,서울 양천구 목동 741-16,목동 스타힐스
280,GA,서울 강남구 논현동 140,논현역(영동프라자)
721,GA,서울 마포구 성산동 56-1,성산2교사거리
2219,GA,"서울 노원구 상계동 1121-32,33",상계동 르비앙
549,GA,서울 서대문구 북아현동 215,북성초교
169,GA,서울 서초구 서초동 1714-18,교대역 11번출구
777,GA,서울 강남구 신사동 550-11,신구초교스포츠센터
2262,GA,서울 강남구 대치동 1004,삼성역 동일타워
1073,TO,서울 송파구 신천동 29,잠실역
1034,GA,서울 은평구 응암동 232-3,은평병원
1050,GA,서울 동작구 사당동 138-3,이수역 12번출구
2419,GA,서울 금천구 가산동 60-19,롯데팩토리아울렛 가산점
1866,GA,서울 관악구 봉천동 880-18,리마크빌 관악점
785,GA,서울 서초구 서초동 1309-9,신논현역 6번출구
653,GA,서울 관악구 봉천동 865-1,서울대입구역
2317,GA,서울 강서구 화곡동 1103-6,우장공원입구교차로
2193,GA,서울 강남구 역삼동 648-8,역삼역 4번출구(648호텔)
2465,TO,서울 용산구 서계동 47-3,서울역 15번출구(국립극단 옆)
333,GA,서울 동작구 상도4동 244-181,도화공원
506,GA,서울 서초구 방배동 761-3,방배동 카페골목
179,GA,서울 구로구 구로동 188-25,롯데시티호텔 구로
1889,GA,서울 영등포구 구로동 46,신도림 쌍용플레티넘
2037,EV,서울 구로구 구로동 235,구로동 한신IT타워
728,GA,서울 성북구 동선동1가 121-6,성신여대
753,GA,서울 강북구 번동 446-13,수유역 3번출구
2105,GA,서울 중랑구 면목동 181-132,중랑초교 옆
1018,GA,서울 강북구 수유동 392-129,우이초등교앞교차로
416,GA,서울 송파구 마천동 128-9,마천역 1번출구
2173,GA,서울 영등포구 신길동 299-1,서울도림초등학교
814,GA,서울 관악구 신림동 1426-6,신림역 7번출구(가야위드안)
67,GA,서울 강남구 역삼동 829-20,강남역4번출구
2186,GA,서울 서대문구 충정로3가 463,충정로역 9번출구(국민연금공단)
507,GA,서울 서초구 방배동 791-3,방배동 카페골목 입구
2312,GA,서울 마포구 상암동 1634,상암월드컵파크1단지
1163,GA,서울 강동구 천호동 410-100,천호역 5번출구
517,GA,서울 도봉구 방학동 718-7,방학역
272,GA,서울 관악구 신림동 247-2,녹두거리 치안센터 옆
632,GA,서울 양천구 신정동 1320-7,서남병원
1993,GA,서울 노원구 월계동 447-1,광운대학교
1841,GA,서울 금천구 시흥3동 939-4,GS칼텍스 일신
1276,GA,서울 마포구 상수동 72-1,홍익대학교
677,GA,서울 용산구 동자동 45,서울역 12번출구
2113,GA,서울 강남구 일원동 707-3,대청역 3번출구
1065,GA,서울 광진구 자양동 636-29,자양동우체국 옆
255,GA,서울 동작구 사당동 318-12,남성역
2244,GA,서울 관악구 남현동 496-2,서울인헌고등학교 옆
2128,GA,서울 강서구 공항동 36-12,송정역 3번출구
302,GA,서울 동작구 대방동 506,대방2차현대아파트
1202,GA,서울 노원구 중계동 509-1,하계역 1번출구(등나무근린공원 앞)
1233,GA,서울 성동구 사근동 110,한양대병원
1938,GA,서울 영등포구 여의도동 23-3,여의도공원앞 교차로
122,GA,서울 송파구 가락동 124-26,경찰병원역 4번출구
2542,GA,서울 금천구 시흥동 203-4,시흥동 스타힐스
649,GA,서울 관악구 신림동 1485-17,서울금천경찰서 앞
385,GA,서울 은평구 증산동 223-42,디지털미디어시티역 6번출구
2292,GA,서울 양천구 신월동 804,신월동 노상공영주차장
2155,GA,서울 송파구 가락동 80-2,성원상떼빌 앞
2042,EV,서울 강북구 미아동 222-100,미아동 공영주차장
1049,EV,서울 동대문구 제기동 252,이수브라운스톤아파트
204,TO,서울 은평구 진관동 66-30,구파발역
904,GA,서울 서초구 서초2동 1359-8,양재역 1번출구
925,TO,서울 마포구 상암동 1648,에스플렉스센터
2361,GA,서울 광진구 자양동 5-5,건대입구역 5번출구
2260,EV,서울 금천구 시흥동 171-1,삼성체육공원
221,GA,서울 강동구 길동 415-5,길동역 1번출구
2275,GA,서울 동작구 동작동 326,동작역 5번출구
475,GA,서울 성동구 하왕십리동 992,무학현대아파트
228,GA,서울 성북구 하월곡동 104-112,길음역
1278,GA,서울 서대문구 홍제동 306-1,홍제역
838,GA,서울 양천구 신월동 226-9,신월동
2266,GA,서울 서대문구 홍은동 148-1,홍은1동 거주자우선주차구역
9,GA,서울 송파구 가락동 77-6 kt 가락지사,KT가락지사
89,GA,서울 강서구 화곡동 995-3,강서구청 앞
1193,GA,서울 양천구 목동 906-1,파리공원
490,GA,서울 관악구 신림동 597-145,미성동제4공영
2195,GA,서울 동대문구 신설동 101-2,경복대학교 산학협력관
2111,GA,서울 노원구 중계동 364-3,노원문화예술회관
321,TO,서울 강남구 역삼동 795-25,도곡1동주민센터 교차로
1262,GA,서울 도봉구 방학동 707-7,홈플러스 방학점
1828,GA,서울 강남구 역삼동 668-13,GS칼텍스 GS타워
2351,GA,서울 동대문구 휘경동 308-15,회기역 2번출구
438,GA,서울 은평구 응암동 747-8,매바위공영주차장
518,GA,서울 도봉구 방학동 716,방학역 3번출구
1069,GA,서울 송파구 신천동11-4,잠실 푸르지오월드마크
867,GA,서울 영등포구 신길동 445-2,신풍역 3번출구
595,GA,서울 노원구 상계동 371-9,상계초교입구
617,GA,서울 성동구 하왕십리동 903-3,상왕십리역 6번출구
1250,GA,서울 종로구 명륜2가 152-2,혜화역
1259,GA,서울 동대문구 용두동 33-1,홈플러스 동대문점
1080,GA,서울 동대문구 장안동 392-3,장안동(장안주차장)
444,GA,서울 중랑구 면목동 146-1,면목2동사거리
2153,GA,서울 마포구 망원동 429-4,마포구민체육센터 옆
2368,GA,서울 강동구 천호동 산31,천호1동 주민센터 옆
2492,GA,서울 성동구 금호베스트빌,금호베스트빌
325,GA,서울 도봉구 방학동 720,도봉구청
457,GA,서울 강동구 명일동 324-14,명일역 4번출구
779,GA,서울 영등포구 신길동 107-4,신길역
2087,GA,서울 구로구 구로동 851,구로한화비즈메트로
792,GA,서울 동작구 상도동 324-62,신대방삼거리
1924,GA,서울 서초구 서초동 1328-3,강남역 5번출구
1036,GA,서울 중구 초동 64-11,을지로3가역 9번출구
328,GA,서울 도봉구 도봉동 623 앞,도봉역
78,GA,서울 송파구 풍납동 504-2,강동구청역 4번출구
928,GA,서울 중구 장충동2가 193-39,엠버서더호텔 뒤
281,TO,서울 강남구 논현동 168,논현초교지하주차장
638,GA,서울 서대문구 충정로2가 191,서대문역(경기대입구)
1237,GA,서울 마포구 서교동 378-10,합정역 2번출구
1269,GA,서울 송파구 신천동 7-12,홈플러스 잠실점
411,GA,서울 강서구 내발산동 750-10,마곡수명산파크 앞
512,GA,서울 송파구 방이동 110-7,방이시장
1274,GA,서울 마포구 동교동 165-8,홍대입구역 9번출구
2179,GA,서울 종로구 안국동 148,안국역 1번출구
1263,GA,서울 중랑구 상봉동 500,홈플러스 상봉점
463,GA,서울 양천구 목동 42-104,목동
731,GA,서울 도봉구 쌍문2동 710-4,성원아파트사거리
370,GA,서울 동작구 노량진2동 47-2,동작구청
666,GA,서울 동대문구 전농동 206-113,서울시립대 앞C
1229,GA,서울 성북구 삼선동4가 18-6,한성대입구역 1번출구
1111,GA,서울 종로구 인사동 119-1,종각역 11번출구
2515,GA,서울 강동구 강일동 668,강일리버파크 2단지
366,GA,서울 중구 신당동 333-260,동산초등학교 앞
1160,GA,서울 강동구 천호동 404-1,천호시장 앞
628,GA,서울 마포구 노고산동 117-2,서강대역 2번출구
2358,GA,서울 강북구 미아동 197-5,미아역 2번출구
548,GA,서울 중랑구 신내동 647,봉화산역(남)N
2439,GA,서울 구로구 구로동 188-25,롯데렌터카 구로디지털영업소
782,GA,서울 서초구 반포동 743-19,신논현역 1번출구
2303,GA,서울 송파구 방이동 88-2,올림픽공원역(한체대)
2189,GA,서울 강북구 수유동 55-29,수유마을시장 공영주차장
319,GA,서울 도봉구 쌍문동 416-27,덕성여대
