위도,경도,거점ID,전기차 여부,주소,거점명
37.50384,127.0338,923,GA,서울 강남구 역삼동 627-5,언주역 7번출구
37.61936,126.9232,953,GA,서울 은평구 불광동 322-2,연신내역
37.4718,127.107,1817,GA,서울 강남구 율현동 294,CU 율현중앙점
37.56556,127.0438,414,GA,서울 성동구 마장동 790-15,마장역 3번출구
37.61565,127.0938,1266,GA,서울 중랑구 신내동 645,홈플러스 신내점
37.60171,127.0404,1268,GA,서울 성북구 하월곡동 46-73,홈플러스 월곡점
37.50527,127.1086,701,GA,서울 송파구 송파동 85-3,석촌역
37.46454,126.898,766,GA,서울 금천구 독산동 1054,쉐보레 금천독산대리점
37.6492,127.077,1954,GA,서울 노원구 중계동 364-19,중계동학원가(삼부프라자)
37.68764,127.0407,326,GA,서울 도봉구 도봉동 282-26,도봉산(s)
37.52379,126.8601,850,GA,서울 양천구 신정동 984-1,신정역 3번출구(신서고)
37.58311,127.0203,541,GA,서울 성북구 보문동5가 146-1,SK주유소 광덕점(보문역)
37.55906,126.9279,2425,GA,서울 서대문구 창천동 377  ,홍대입구역 4번출구
37.46375,126.9,2446,GA,서울 금천구 독산동 1050-17,독산2동 공영주차장
37.53324,126.9006,294,GA,서울 영등포구 당산동5가 9-2,당산역(삼성쉐르빌)
37.5442,127.0223,665,GA,서울 성동구 금호동4가 340,서울숲푸르지오1차
37.60538,127.0249,230,GA,서울 성북구 길음동 1080,길음역 8번출구
37.5256,126.8629,470,GA,서울 양천구 신정동 992-1,목동역 8번출구
37.5031,126.9542,601,GA,서울 동작구 상도동 460,상도패리스아파트
37.47393,126.8949,734,GA,서울 금천구 독산동 148-32,세일중학교 앞
37.5007,126.9507,2413,GA,서울 동작구 상도1동 363-4,상도역 5번출구(파미에)
37.52596,126.8917,2051,GA,서울 영등포구 양평동3가 45,롯데마트 양평점
37.53342,126.9007,2476,GA,서울 영등포구 당산동5가 9-2,당산역(삼성쉐르빌) 모닝존
37.54044,126.8313,86,TO,서울 양천구 신월5동 21-1,강서교육청
37.60465,126.9614,2460,GA,서울 종로구 신영동 10-15,신영동 삼거리
37.48731,126.9054,2012,EV,서울 동작구 신대방동 686-44,SK주유소 21세기점
37.65506,127.0588,22,GA,서울 노원구 상계동 706-2,SK주유소 노원역점
37.55817,126.8583,1143,GA,서울 강서구 등촌동 629-7,증미역 4번출구
37.51298,126.8526,2339,GA,서울 양천구 신정동 1258,신정동 신트리2단지아파트
37.53116,127.1298,883,EV,서울 강동구 성내동 512,안말어린이공원
37.59785,126.9561,2252,GA,서울 서대문구 홍은동 4,세검정교차로
37.47779,126.9547,655,GA,서울 관악구 봉천동 1609-1,서울대입구역 2번출구(리틀플레이스카페)
37.55318,127.0894,879,GA,서울 광진구 중곡동 115-4,아차산역 1번출구
37.48497,126.8804,2297,GA,서울 금천구 가산동 505-19,가산 어바니엘
37.49457,126.8401,765,GA,서울 구로구 오류동 8-4,쉐보레 구로오류대리점
37.52784,126.8778,464,GA,서울 양천구 목동 915,목동 공영주차장
37.50899,126.9425,2196,GA,서울 동작구 노량진2동 225-57,노량진동 송학대교회
37.59302,127.0842,604,GA,서울 중랑구 상봉동 110-38,상봉시장 앞
37.50682,126.9495,597,GA,서울 동작구 상도동 414,상도건영아파트
37.52569,126.8492,1891,GA,서울 양천구 신월동 475,신월서울가든
37.58414,126.9234,1181,GA,서울 서대문구 홍은동 345-3,충암초등학교 옆
37.60121,127.0784,1141,GA,서울 중랑구 중화동 304-2,중화역
37.54621,127.0488,2279,GA,서울 성동구 성수동1가 656-591,뚝섬역 5번출구(서울숲A타워)
37.52988,126.876,2553,GA,서울 양천구 목동 917-6,행복한백화점
37.62509,127.0334,530,GA,서울 강북구 번동 148-380,번동
37.56109,126.9189,951,GA,서울 마포구 연남동 493-50,연남동(가버나움)
37.55238,127.1351,885,GA,서울 강동구 암사1동 473-3,암사역 1번출구
37.62284,127.0268,498,GA,서울 강북구 미아동 1351,미아역 5번출구
37.64722,127.0373,870,GA,서울 도봉구 창동 655-15,쌍문역
37.57615,126.8902,4,GA,서울 마포구 상암동 1649,DMC산학협력센터
37.5574,126.84,505,GA,서울 강서구 내발산동 652-4,발산역 5번출구
37.63809,127.0245,2284,GA,서울 강북구 수유동 229-49,수유역 경남아너스빌
37.58938,127.063,1298,GA,서울 동대문구 휘경동 283-5,회기역(삼육서울병원)
37.54393,126.8439,1282,GA,서울 강서구 화곡동 110-65,화곡역 3번출구
37.6074,127.0103,1102,TO,서울 성북구 정릉2동 408-14,정릉시장입구(정릉타워)
